Delta X (mm),Delta Z (mm)
581.1743686134597,265.4599842983394
371.7692198825441,198.73136636566676
479.3938042225538,279.441660299419
395.18411955696683,276.48973117739456
649.022431069859,391.4843259217479
483.47549105442215,237.77176510010923
